Date,Period,Demand,TCL,TransmissionLoss
2024-03-25,33,7071.413,9.500,37.08
2024-03-25,32,7075.290,9.500,37.16
2024-03-25,31,7030.656,0.000,36.75
2024-03-25,30,7006.005,0.000,36.60
2024-03-25,29,6943.299,0.000,36.24
2024-03-25,28,6901.978,0.000,35.69
2024-03-25,27,6900.283,0.000,35.91
2024-03-25,26,6824.720,0.000,35.32
2024-03-25,25,6795.605,0.000,35.01
2024-03-25,24,6856.180,0.000,35.59
2024-03-25,23,6898.549,0.000,35.98
2024-03-25,22,6984.982,0.000,36.52
2024-03-25,21,7036.476,0.000,36.88
2024-03-25,20,7029.305,0.000,36.89
2024-03-25,19,7055.323,0.000,36.88
2024-03-25,18,7028.027,0.000,36.67
2024-03-25,17,6965.226,0.000,36.21
2024-03-25,16,6755.348,0.000,34.47
2024-03-25,15,6526.554,0.000,32.90
2024-03-25,14,6373.160,0.000,31.83
2024-03-25,13,6206.531,0.000,30.25
2024-03-25,12,6031.234,0.000,29.17
2024-03-25,11,5881.205,0.000,27.83
2024-03-25,10,5795.790,0.000,27.31
2024-03-25,9,5754.167,0.000,26.84
2024-03-25,8,5740.996,0.000,26.75
2024-03-25,7,5759.440,0.000,27.07
2024-03-25,6,5789.126,0.000,27.26
2024-03-25,5,5837.225,0.000,28.04
2024-03-25,4,5907.089,0.000,28.71
2024-03-25,3,5967.727,0.000,29.29
2024-03-25,2,6137.831,0.000,30.65
2024-03-25,1,6328.594,0.000,NULL
2024-03-24,48,6450.782,0.000,32.81
2024-03-24,47,6472.371,0.000,33.21
2024-03-24,46,6542.737,0.000,33.77
2024-03-24,45,6633.663,0.000,34.47
2024-03-24,44,6748.723,0.000,35.49
2024-03-24,43,6839.585,0.000,36.09
2024-03-24,42,6873.301,0.000,36.09
2024-03-24,41,6906.208,0.000,36.31
2024-03-24,40,6884.618,0.000,36.02
2024-03-24,39,6807.851,0.000,35.23
2024-03-24,38,6720.931,0.000,34.26
2024-03-24,37,6608.187,0.000,33.15
2024-03-24,36,6500.372,0.000,32.21
2024-03-24,35,6407.697,0.000,31.80
2024-03-24,34,6226.376,0.000,29.94
2024-03-24,33,6228.643,0.000,30.13
2024-03-24,32,6220.169,0.000,29.72
2024-03-24,31,6072.699,0.000,28.39
2024-03-24,30,5996.653,0.000,27.48
2024-03-24,29,5991.380,0.000,27.31
2024-03-24,28,6006.548,0.000,27.58
2024-03-24,27,5886.617,0.000,26.11
2024-03-24,26,5814.473,0.000,25.06
2024-03-24,25,5747.765,0.000,24.56
2024-03-24,24,5794.210,0.000,25.13
2024-03-24,23,5883.406,0.000,25.97
2024-03-24,22,5957.022,0.000,27.02
2024-03-24,21,5986.300,0.000,27.59
2024-03-24,20,6046.805,0.000,28.08
2024-03-24,19,6098.901,0.000,28.59
2024-03-24,18,6090.044,0.000,28.53
2024-03-24,17,6057.192,0.000,28.40
2024-03-24,16,5963.399,0.000,27.89
2024-03-24,15,5894.450,0.000,27.62
2024-03-24,14,5853.631,0.000,27.09
2024-03-24,13,5826.883,0.000,26.88
2024-03-24,12,5762.551,0.000,26.45
2024-03-24,11,5695.063,0.000,25.98
2024-03-24,10,5661.735,0.000,25.77
2024-03-24,9,5655.293,0.000,25.84
2024-03-24,8,5687.444,0.000,26.20
2024-03-24,7,5696.843,0.000,26.32
2024-03-24,6,5741.543,0.000,26.79
2024-03-24,5,5810.979,0.000,27.35
2024-03-24,4,5886.677,0.000,28.35
2024-03-24,3,5971.495,0.000,29.10
2024-03-24,2,6068.837,0.000,29.92
2024-03-24,1,6182.740,0.000,NULL
2024-03-23,48,6304.803,0.000,31.55
2024-03-23,47,6407.846,0.000,32.47
2024-03-23,46,6505.929,0.000,33.12
2024-03-23,45,6588.267,0.000,33.59
2024-03-23,44,6700.653,0.000,34.43
2024-03-23,43,6779.070,0.000,34.99
2024-03-23,42,6809.780,0.000,35.20
2024-03-23,41,6806.345,0.000,35.14
