Year,Month,Day,Period,Sum of Demand_Sum,Sum of DST,Sum of TCQ
2023,July,1,1,6120,5633.853331778802,486.146668221198
2023,July,1,2,6020,5554.891608443041,465.108391556959
2023,July,1,3,5911,5462.731619675529,448.26838032447097
2023,July,1,4,5843,5408.64666672032,434.35333327968
2023,July,1,5,5798,5375.573340563935,422.426659436065
2023,July,1,6,5748,5334.879472279511,413.120527720489
2023,July,1,7,5698,5291.642067053111,406.35793294688904
2023,July,1,8,5635,5235.424521234281,399.57547876571897
2023,July,1,9,5582,5185.993216789153,396.006783210847
2023,July,1,10,5557,5163.747443385597,393.252556614403
2023,July,1,11,5568,5172.263284739408,395.736715260592
2023,July,1,12,5628,5233.586334465848,394.413665534152
2023,July,1,13,5707,5308.348716751647,398.65128324835297
2023,July,1,14,5775,5374.780589940182,400.219410059818
2023,July,1,15,5842,5433.464696268488,408.535303731512
2023,July,1,16,5966,5550.269926132173,415.730073867827
2023,July,1,17,6106,5673.09163854793,432.90836145207
2023,July,1,18,6193,5744.054100658561,448.94589934143903
2023,July,1,19,6246,5780.394256903807,465.605743096193
2023,July,1,20,6277,5802.44922653023,474.55077346977
2023,July,1,21,6303,5817.119167942544,485.880832057456
2023,July,1,22,6287,5797.652701687039,489.347298312961
2023,July,1,23,6303,5811.404556772084,491.595443227916
2023,July,1,24,6329,5839.037559869686,489.96244013031395
2023,July,1,25,6305,5820.701023069308,484.298976930692
2023,July,1,26,6235,5754.045200690953,480.954799309047
2023,July,1,27,6188,5706.377011597005,481.62298840299496
2023,July,1,28,6203,5720.698926120425,482.301073879575
2023,July,1,29,6289,5805.006411442421,483.99358855757896
2023,July,1,30,6344,5860.097511476474,483.902488523526
2023,July,1,31,6332,5847.753237317063,484.246762682937
2023,July,1,32,6311,5827.022738807705,483.977261192295
2023,July,1,33,6337,5851.956395248909,485.043604751091
2023,July,1,34,6305,5821.009110455866,483.990889544134
2023,July,1,35,6326,5840.191374882482,485.80862511751803
2023,July,1,36,6378,5894.747673826303,483.25232617369704
2023,July,1,37,6414,5930.754937837797,483.245062162203
2023,July,1,38,6448,5955.617511123101,492.382488876899
2023,July,1,39,6520,6010.16519037132,509.83480962868
2023,July,1,40,6577,6053.531940322865,523.468059677135
2023,July,1,41,6606,6075.875839956299,530.124160043701
2023,July,1,42,6612,6075.767605997887,536.232394002113
2023,July,1,43,6573,6027.53598038185,545.46401961815
2023,July,1,44,6491,5942.936030726761,548.0639692732391
2023,July,1,45,6407,5863.714883939541,543.285116060459
2023,July,1,46,6323,5791.219545372302,531.7804546276981
2023,July,1,47,6235,5721.375209035122,513.624790964878
2023,July,1,48,6123,5639.586099552301,483.413900447699
2023,July,2,1,5989,5502.853331778802,486.146668221198
2023,July,2,2,5876,5410.891608443041,465.108391556959
2023,July,2,3,5797,5348.731619675529,448.26838032447097
2023,July,2,4,5736,5301.64666672032,434.35333327968
2023,July,2,5,5682,5259.573340563935,422.426659436065
2023,July,2,6,5635,5221.879472279511,413.120527720489
2023,July,2,7,5582,5175.642067053111,406.35793294688904
2023,July,2,8,5539,5139.424521234281,399.57547876571897
2023,July,2,9,5517,5120.993216789153,396.006783210847
2023,July,2,10,5518,5124.747443385597,393.252556614403
2023,July,2,11,5543,5147.263284739408,395.736715260592
2023,July,2,12,5581,5186.586334465848,394.413665534152
2023,July,2,13,5647,5248.348716751647,398.65128324835297
2023,July,2,14,5674,5273.780589940182,400.219410059818
2023,July,2,15,5700,5291.464696268488,408.535303731512
2023,July,2,16,5763,5347.269926132173,415.730073867827
2023,July,2,17,5835,5402.09163854793,432.90836145207
2023,July,2,18,5869,5420.054100658561,448.94589934143903
2023,July,2,19,5922,5456.394256903807,465.605743096193
2023,July,2,20,5992,5517.44922653023,474.55077346977
