Year,Quarter,Period,TCQ_Weekday,TCQ_Weekend_PH
2023,3,1,457184.60770369,486146.668221198
2023,3,2,431743.883050603,465108.391556959
2023,3,3,415236.248998017,448268.380324471
2023,3,4,403405.811743232,434353.33327968
2023,3,5,394503.297640708,422426.659436065
2023,3,6,387855.82509412,413120.527720489
2023,3,7,382490.550677101,406357.932946889
2023,3,8,378422.131244598,399575.478765719
2023,3,9,377798.072724626,396006.783210847
2023,3,10,379228.953509557,393252.556614403
2023,3,11,392371.512714902,395736.715260592
2023,3,12,411962.321910871,394413.665534152
2023,3,13,440934.029063567,398651.283248353
2023,3,14,444731.530791948,400219.410059818
2023,3,15,436529.892453039,408535.303731512
2023,3,16,431850.794378798,415730.073867827
2023,3,17,436547.514731688,432908.36145207
2023,3,18,446233.340539009,448945.899341439
2023,3,19,458599.412770659,465605.743096193
2023,3,20,465036.297668532,474550.77346977
2023,3,21,474231.792795063,485880.832057456
2023,3,22,478005.925849585,489347.298312961
2023,3,23,481903.429043278,491595.443227916
2023,3,24,479561.780088895,489962.440130314
2023,3,25,475343.230760754,484298.976930692
2023,3,26,470760.388353463,480954.799309047
2023,3,27,474633.515480555,481622.988402995
2023,3,28,477956.407530355,482301.073879575
2023,3,29,484129.937263978,483993.588557579
2023,3,30,483553.410655015,483902.488523526
2023,3,31,484517.797657811,484246.762682937
2023,3,32,487323.045913779,483977.261192295
2023,3,33,493179.204368164,485043.604751091
2023,3,34,496475.904206703,483990.889544134
2023,3,35,500116.408742454,485808.625117518
2023,3,36,501484.24944362,483252.326173697
2023,3,37,500665.906010978,483245.062162203
2023,3,38,513037.128715373,492382.488876899
2023,3,39,534019.686454315,509834.80962868
2023,3,40,549519.374409538,523468.059677135
2023,3,41,555351.667588007,530124.160043701
2023,3,42,558645.614832297,536232.394002113
2023,3,43,555871.525947774,545464.01961815
2023,3,44,558666.429552731,548063.969273239
2023,3,45,548535.15170179,543285.116060459
2023,3,46,538007.797100526,531780.454627698
2023,3,47,505974.638736841,513624.790964878
2023,3,48,466875.186702112,483413.900447699
2023,4,1,425213.762918635,455453.456831731
2023,4,2,403220.177360864,435827.324744183
2023,4,3,387823.119612025,420245.07550604
2023,4,4,376772.764661277,406399.637237352
2023,4,5,368239.903052287,395291.916937343
2023,4,6,362202.799204404,386392.943210894
2023,4,7,358253.636613233,379653.213906054
2023,4,8,355307.104288659,374377.403237243
2023,4,9,355553.749680912,371616.728686012
2023,4,10,357280.72351756,369993.148635
2023,4,11,369236.091035307,373247.357377864
2023,4,12,386287.390379438,375569.852201303
2023,4,13,415365.749025368,383396.430190469
2023,4,14,434013.993548907,391577.897545946
2023,4,15,442551.202274027,404583.189559696
2023,4,16,444824.70125173,417433.573141048
2023,4,17,453124.471919089,439844.371025254
2023,4,18,463899.832579278,458117.810735892
2023,4,19,476992.049355755,477314.396064017
2023,4,20,483470.691926933,489156.630006015
2023,4,21,494846.610243753,502503.005103329
2023,4,22,500342.334225738,507295.660542477
2023,4,23,504252.273001857,511407.507809519
2023,4,24,502639.264872026,510826.382938829
2023,4,25,498149.948159177,506632.764971404
2023,4,26,495371.071988841,502220.315805803
2023,4,27,498267.605351495,500686.13709388
2023,4,28,500793.265570443,500248.89502932
2023,4,29,505729.907659534,499244.334376815
2023,4,30,504393.005541765,495338.805353798
2023,4,31,504594.711730218,497492.585462095
2023,4,32,504878.91335527,499352.19798159
2023,4,33,508235.229076128,501130.751131429
2023,4,34,512075.072386248,500974.290704718
2023,4,35,517068.725834427,505301.865181311
2023,4,36,520333.552576788,506978.536371124
2023,4,37,522656.998946787,512295.571888882
2023,4,38,536999.512144844,526806.751051551
2023,4,39,556214.706128831,542031.718265484
2023,4,40,558021.119852632,543720.676076944
2023,4,41,557604.529040673,541613.261798758
2023,4,42,554271.388437285,540842.502622909
2023,4,43,550630.158449386,540933.067957734
2023,4,44,540024.876926197,534445.085063798
2023,4,45,522733.189186473,520871.278133154
2023,4,46,500923.009170887,504567.125206818
2023,4,47,474344.769655033,484430.128324472
2023,4,48,434982.901596604,455329.006287733
2024,1,1,355818.725701596,415350.537834662
2024,1,2,357142.418295439,397136.77366202
2024,1,3,341690.203160307,383041.70247851
2024,1,4,335844.762032618,370628.854616902
2024,1,5,329430.310707805,360553.706585054
2024,1,6,348038.455092145,352398.48342446
2024,1,7,320351.369856426,345086.066518676
2024,1,8,357264.250353278,340958.193393207
2024,1,9,350714.824262382,339086.970714893
2024,1,10,325854.365624516,338984.652006826
2024,1,11,342973.114353162,343948.495438935
2024,1,12,334723.850967506,348271.397850624
2024,1,13,410146.203957879,356758.274754606
2024,1,14,384326.092656074,359126.852039741
2024,1,15,416354.853103296,374884.05909028
2024,1,16,421831.700172124,392734.546877371
2024,1,17,431490.491442166,417286.311503593
2024,1,18,441064.891902455,437327.106388335
2024,1,19,453713.712624237,456201.663313922
2024,1,20,461585.635944387,470689.211124953
2024,1,21,472177.88088323,485371.126678831
2024,1,22,476815.733614182,489648.162083455
2024,1,23,480049.710480442,493964.858588281
2024,1,24,480193.066406197,493609.263275271
2024,1,25,476069.109924648,488696.54769513
2024,1,26,473187.745523196,483050.684549459
2024,1,27,475633.713328995,482304.4951289
2024,1,28,478328.113861272,484750.945519437
2024,1,29,485156.619730215,484309.570082638
2024,1,30,484623.778058663,482291.39026974
2024,1,31,485591.815491003,483168.722788107
2024,1,32,488310.784821614,483789.407980545
2024,1,33,494884.297358528,487452.027103724
2024,1,34,499796.905572104,488782.768847833
2024,1,35,505555.912235531,492900.939337192
2024,1,36,508903.722302573,493199.106385176
2024,1,37,526114.236612161,494397.507952995
2024,1,38,517712.085036496,501872.727532206
2024,1,39,532676.170234739,513595.433578798
2024,1,40,523850.658766256,521702.647591887
2024,1,41,514780.437059412,523105.970094427
2024,1,42,539775.950448665,520200.345600202
2024,1,43,532980.850112062,518001.028911877
2024,1,44,522670.888877466,506982.047501831
2024,1,45,492108.973765145,488537.336257146
2024,1,46,488650.253603349,467270.071464411
2024,1,47,435305.898628019,443898.437208139
2024,1,48,394272.551050634,409230.666371385
