"Date","Period","Total_Demand","TCQ","Net_Demand"
"2023-09-28",1,"5949.676","486.146668221198","5463.529113028802"
"2023-09-28",2,"5841.281","465.108391556959","5376.172370161791"
"2023-09-28",3,"5792.977","448.26838032447097","5344.708670456779"
"2023-09-28",4,"5760.116","434.35333327968","5325.76287765782"
"2023-09-28",5,"5720.624","422.426659436065","5298.197364001435"
"2023-09-28",6,"5675.268","413.120527720489","5262.147538685761"
"2023-09-28",7,"5636.75","406.35793294688904","5230.392067053111"
"2023-09-28",8,"5615.608","399.57547876571897","5216.032431390531"
"2023-09-28",9,"5609.062","396.006783210847","5213.055228507903"
"2023-09-28",10,"5645.04","393.252556614403","5251.787482448097"
"2023-09-28",11,"5727.09","395.736715260592","5331.353128489408"
"2023-09-28",12,"5885.544","394.413665534152","5491.130279778348"
"2023-09-28",13,"6091.898","398.65128324835297","5693.246665970397"
"2023-09-28",14,"6266.077","400.219410059818","5865.857738377682"
"2023-09-28",15,"6438.68","408.535303731512","6030.144872049738"
"2023-09-28",16,"6630.01","415.730073867827","6214.279691757173"
"2023-09-28",17,"6772.366","432.90836145207","6339.45784948543"
"2023-09-28",18,"6833.213","448.94589934143903","6384.266991283561"
"2023-09-28",19,"6843.168","465.605743096193","6377.562225653807"
"2023-09-28",20,"6874.822","474.55077346977","6400.27100387398"
"2023-09-28",21,"6895.448","485.880832057456","6409.567410130044"
"2023-09-28",22,"6862.651","489.347298312961","6373.303580593289"
"2023-09-28",23,"6817.384","491.595443227916","6325.788345834584"
"2023-09-28",24,"6756.173","489.96244013031395","6266.210411432186"
"2023-09-28",25,"6710.375","484.298976930692","6226.076023069308"
"2023-09-28",26,"6688.725","480.954799309047","6207.770298347203"
"2023-09-28",27,"6717.785","481.62298840299496","6236.162167847005"
"2023-09-28",28,"6806.828","482.30107387957503","6324.527051120425"
"2023-09-28",29,"6900.298","483.99358855757896","6416.304263004921"
"2023-09-28",30,"6894.702","483.902488523526","6410.799659913974"
"2023-09-28",31,"6868.828","484.246762682937","6384.581362317063"
"2023-09-28",32,"6895.204","483.977261192295","6411.226840370205"
"2023-09-28",33,"6939.924","485.043604751091","6454.880223373909"
"2023-09-28",34,"6983.183","483.990889544134","6499.192215924616"
"2023-09-28",35,"7033.753","485.80862511751803","6547.944304569982"
"2023-09-28",36,"7022.347","483.25232617369704","6539.094841795053"
"2023-09-28",37,"7007.949","483.245062162203","6524.704156587797"
"2023-09-28",38,"7007.63","492.382488876899","6515.247393935601"
"2023-09-28",39,"7008.018","509.83480962868","6498.18325677757"
"2023-09-28",40,"6993.988","523.468059677135","6470.519733291615"
"2023-09-28",41,"6983.456","530.124160043701","6453.331894643799"
"2023-09-28",42,"6961.643","536.232394002113","6425.410672404137"
"2023-09-28",43,"6901.998","545.46401961815","6356.53402725685"
"2023-09-28",44,"6795.009","548.0639692732391","6246.944819789261"
"2023-09-28",45,"6638.772","543.285116060459","6095.486856595791"
"2023-09-28",46,"6478.325","531.7804546276981","5946.544740684802"
"2023-09-28",47,"6345.035","513.624790964878","5831.410365285122"
"2023-09-28",48,"6244.045","483.413900447699","5760.631021427301"
"2023-10-16",29,NULL,"499.244334376815",NULL
"2023-10-18",1,"6244.552","455.45345683173105","5789.098300980769"
"2023-10-18",2,"6130.778","435.827324744183","5694.950507287067"
"2023-10-18",3,"6056.02","420.24507550604","5635.77494402521"
"2023-10-18",4,"5989.461","406.399637237352","5583.061300262648"
"2023-10-18",5,"5948.991","395.29191693734305","5553.699294000157"
"2023-10-18",6,"5905.468","386.39294321089403","5519.074830226606"
"2023-10-18",7,"5864.023","379.65321390605396","5484.369735312696"
"2023-10-18",8,"5831.43","374.377403237243","5457.052772544007"
"2023-10-18",9,"5818.23","371.616728686012","5446.613251782738"
"2023-10-18",10,"5835.938","369.993148635","5465.94483964625"
"2023-10-18",11,"5894.519","373.24735737786403","5521.271685590886"
"2023-10-18",12,"6017.109","375.569852201303","5641.539034517447"
"2023-10-18",13,"6187.7","383.396430190469","5804.303765122031"
"2023-10-18",14,"6342.58","391.57789754594603","5951.002180579054"
"2023-10-18",15,"6500.338","404.583189559696","6095.754701065304"
